ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
1255_g_at,GUCA1A,2978,0
1431_at,CYP2E1,1571,0
1494_f_at,CYP2A6,1548,1
1552256_a_at,SCARB1,949,1
1552278_a_at,SLC46A1,113235,0
1552279_a_at,SLC46A1,113235,1
1552286_at,ATP6V1E2,90423,1
1552291_at,PIGX,54965,1
1552304_at,ALG10,84920,0
1552306_at,ALG10,84920,1
1552343_s_at,PDE7A,5150,0
1552378_s_at,RDH10,157506,1
1552379_at,RDH10,157506,0
1552473_at,GAMT,2593,0
1552474_a_at,GAMT,2593,0
1552476_s_at,PLCD3,113026,1
1552491_at,IDI2,91734,0
1552493_s_at,CYP11B1,1584,0
1552510_at,SLC34A3,142680,0
1552511_a_at,CPA6,57094,0
1552532_a_at,ATP6V1C2,245973,0
1552615_at,ACACB,32,0
1552616_a_at,ACACB,32,0
1552671_a_at,SLC9A7,84679,0
1552694_at,SLC2A13,114134,0
1552695_a_at,SLC2A13,114134,0
1552711_a_at,CYB5D1,124637,1
1552712_a_at,NMNAT2,23057,0
1552713_a_at,SLC4A1,6521,0
1552766_at,HS6ST2,90161,1
1552767_a_at,HS6ST2,90161,1
1552774_a_at,SLC25A27,9481,0
1552826_at,SLC26A7,115111,0
1552827_s_at,SLC26A7,115111,0
1552833_at,B3GNT6,192134,0
1552834_at,B3GNT6,192134,0
1552842_at,HS6ST3,266722,0
1552843_at,SLC26A1,10861,0
1552903_at,B4GALNT2,124872,0
1552931_a_at,PDE8A,5151,1
1552965_a_at,B3GNT7,93010,0
1552980_at,HAS3,3038,0
1553030_a_at,SUOX,6821,1
1553047_at,PIP4K2B,8396,0
1553048_a_at,PIP4K2B,8396,1
1553062_at,MOGAT1,116255,0
1553077_at,SDR9C7,121214,0
1553151_at,ATP6V0D2,245972,0
1553153_at,ATP6V0D2,245972,1
1553155_x_at,ATP6V0D2,245972,1
1553175_s_at,PDE5A,8654,0
1553272_at,SLC36A1,206358,0
1553281_at,PLCXD2,257068,0
1553300_a_at,DGKH,160851,1
1553313_s_at,SLC5A3,6526,0
1553328_a_at,SLC18A2,6571,0
1553341_at,UROC1,131669,0
1553367_a_at,COX6B2,125965,0
1553415_at,SLC17A8,246213,0
1553465_a_at,CES5A,221223,0
1553513_at,VNN3,55350,0
1553514_a_at,VNN3,55350,0
1553524_at,DGKB,1607,0
1553538_s_at,COX1,4512,1
1553540_a_at,SLC29A2,3177,0
1553551_s_at,ND2,4536,1
1553569_at,COX2,4513,1
1553570_x_at,COX2,4513,1
1553575_at,ND6,4541,1
1553691_at,B3GALNT2,148789,1
1553693_s_at,CBR4,84869,1
1553694_a_at,PIK3C2A,5286,1
1553727_at,B4GALNT3,283358,0
1553734_at,AK7,122481,0
1553859_at,TPH1,7166,1
1553888_at,LDHAL6A,160287,0
1553917_at,PIKFYVE,200576,0
1553929_at,ACER1,125981,0
1553959_a_at,B3GALT6,126792,1
1553970_s_at,CEL,1056,0
1553972_a_at,CBS,875,1
1553977_a_at,CYP39A1,51302,0
1553983_at,DTYMK,1841,0
1553984_s_at,DTYMK,1841,1
1553989_a_at,ATP6V1C2,245973,0
1553994_at,NT5E,4907,1
1553995_a_at,NT5E,4907,1
1554010_at,NDST1,3340,1
1554027_a_at,SLC4A4,8671,1
1554030_at,ARSB,411,0
1554032_at,ARSB,411,0
1554053_at,SPTLC1,10558,1
1554059_at,SETMAR,6419,0
1554060_s_at,SETMAR,6419,0
1554082_a_at,NOL9,79707,1
1554084_a_at,NOL9,79707,0
1554094_at,ENTPD5,957,0
1554113_a_at,SLC4A8,9498,0
1554121_at,HSD17B12,51144,0
1554122_a_at,HSD17B12,51144,0
1554148_a_at,SLC33A1,9197,1
1554151_at,OGDH,4967,0
1554152_a_at,OGDH,4967,1
1554161_at,SLC25A27,9481,0
1554177_a_at,ATP5S,27109,1
1554206_at,TMLHE,55217,0
