#ID_REF = 
#VALUE = linear expression value; rma
#ABS_CALL = MAS 5.0 absolute detection
ID_REF	VALUE	ABS_CALL
1007_s_at	541.55	P
1053_at	583.86	P
117_at	43.83	M
121_at	124.26	P
1255_g_at	12.44	A
1294_at	141.89	P
1316_at	37.68	A
1320_at	42.76	M
1405_i_at	17.03	P
1431_at	12.45	A
1438_at	36.49	A
1487_at	166.85	P
1494_f_at	26.7	M
1598_g_at	614.39	P
160020_at	185.03	P
1729_at	274.63	P
177_at	36.98	P
1773_at	97.95	P
179_at	295.75	A
1861_at	244.47	P
200000_s_at	1563.53	P
200001_at	3447.69	P
200002_at	6779.21	P
200003_s_at	6887.46	P
200004_at	4605.17	P
200005_at	1972.1	P
200006_at	4155.55	P
200007_at	3994.17	P
200008_s_at	1911.53	P
200009_at	3393.64	P
200010_at	6631.37	P
200011_s_at	1100.37	P
200012_x_at	8441.58	P
200013_at	6624.14	P
200014_s_at	2429.59	P
200015_s_at	2629.43	P
200016_x_at	6872.94	P
200017_at	6359.02	P
200018_at	8498.53	P
200019_s_at	4153.22	P
200020_at	1511.5	P
200021_at	8885.78	P
200022_at	7436.56	P
200023_s_at	3740.32	P
200024_at	5872.77	P
200025_s_at	7522.29	P
200026_at	5623.24	P
200027_at	1945.94	P
200028_s_at	1676.23	P
200029_at	6920.57	P
200030_s_at	5296.74	P
200031_s_at	7809.23	P
200032_s_at	8279.05	P
200033_at	4471.43	P
200034_s_at	5361.76	P
200035_at	708.23	P
200036_s_at	5242.39	P
200037_s_at	2118.27	P
200038_s_at	7779.07	P
200039_s_at	2621.48	P
200040_at	2138.79	P
200041_s_at	3326.59	P
200042_at	1060.23	P
200043_at	4021.09	P
200044_at	2521.53	P
200045_at	907.78	P
200046_at	1987.96	P
200047_s_at	1725.56	P
200048_s_at	2072.67	P
200049_at	391.19	P
200050_at	1000.01	P
200051_at	327.99	P
200052_s_at	2029.82	P
200053_at	524.54	P
200054_at	305.58	P
200055_at	1000.44	P
200056_s_at	494.9	P
200057_s_at	4424.23	P
200058_s_at	1191.42	P
200059_s_at	5857.47	P
200060_s_at	2228.36	P
200061_s_at	8126.48	P
200062_s_at	6726.26	P
200063_s_at	7804.23	P
200064_at	5943.68	P
200065_s_at	3992.17	P
200066_at	1088.19	P
200067_x_at	1933.05	P
200068_s_at	3248.41	P
200069_at	461.66	P
200070_at	194.5	P
200071_at	957.96	P
200072_s_at	3195.01	P
200073_s_at	2414.24	P
200074_s_at	3813.21	P
200075_s_at	1322.23	P
200076_s_at	597.92	P
200077_s_at	7113.07	P
200078_s_at	1234.51	P
200079_s_at	2664.09	P
200080_s_at	4679.31	P
200081_s_at	8138.51	P
200082_s_at	7480.27	P
200083_at	1054.47	P
200084_at	1921.11	P
200085_s_at	2610.4	P
200086_s_at	3290.05	P
200087_s_at	2431.72	P
200088_x_at	7710.36	P
200089_s_at	5992.5	P
200090_at	1596.32	P
200091_s_at	4996.1	P
200092_s_at	7377.59	P
200093_s_at	2728.64	P
200094_s_at	5352.43	P
200095_x_at	10049.77	P
200096_s_at	2380.1	P
200097_s_at	2526.31	P
200098_s_at	1305.79	P
200099_s_at	8185.5	P
200593_s_at	2025.41	P
200594_x_at	2835.9	P
200595_s_at	1886.08	P
200596_s_at	1801.2	P
200597_at	303.11	P
200598_s_at	3021.21	P
200599_s_at	2896.35	P
200600_at	1738.41	P
200601_at	1310.96	P
200602_at	596.18	P
200603_at	2282.72	P
200604_s_at	1877.26	P
200605_s_at	3057.69	P
200606_at	2722.32	P
200607_s_at	1368.1	P
200608_s_at	1412.42	P
200609_s_at	2182.65	P
200610_s_at	3295.95	P
200611_s_at	1862.96	P
200612_s_at	727.45	P
200613_at	3014.18	P
200614_at	4635.68	P
200615_s_at	977.47	P
200616_s_at	1067.78	P
200617_at	933.91	P
200618_at	2661.14	P
200619_at	1045.29	P
200620_at	1773.03	P
200621_at	1880.05	P
200622_x_at	737.36	P
200623_s_at	805.86	P
200624_s_at	2955.14	P
200625_s_at	3483.78	P
200626_s_at	2323.35	P
200627_at	6040.17	P
200628_s_at	563.04	P
200629_at	665.31	P
200630_x_at	2179.99	P
200631_s_at	3534.3	P
200632_s_at	160.57	P
200633_at	8457.92	P
200634_at	5048.3	P
200635_s_at	592.96	P
200636_s_at	1353.86	P
200637_s_at	568.08	P
200638_s_at	2733.94	P
200639_s_at	2922.58	P
200640_at	3089.99	P
200641_s_at	2981.81	P
200642_at	3733.82	P
200643_at	843.28	P
200644_at	2204.53	P
200645_at	1658.32	P
200646_s_at	231.75	P
200647_x_at	4446.92	P
200648_s_at	216.03	P
200649_at	491.77	P
200650_s_at	8073.05	P
200651_at	7985.36	P
200652_at	1953.71	P
200653_s_at	2219.6	P
200654_at	3970.72	P
200655_s_at	2417.94	P
200656_s_at	2385.41	P
200657_at	4819.31	P
200658_s_at	2220.28	P
200659_s_at	673.55	P
200660_at	2263.69	P
200661_at	1457.95	P
200662_s_at	2194.98	P
200663_at	3784.33	P
200664_s_at	846.49	P
200665_s_at	3737.4	P
200666_s_at	980.04	P
200667_at	1243.96	P
200668_s_at	2490.32	P
200669_s_at	1814.96	P
200670_at	323.69	P
200671_s_at	363.41	P
200672_x_at	359.19	P
200673_at	3472.97	P
200674_s_at	8640.41	P
200675_at	1972.62	P
200676_s_at	285.69	P
200677_at	2017.75	P
200678_x_at	1124.91	P
200679_x_at	3991.99	P
200680_x_at	7467.62	P
200681_at	3273.65	P
200682_s_at	2330.6	P
200683_s_at	882.34	P
200684_s_at	469.32	P
200685_at	220.16	P
200686_s_at	1537.41	P
200687_s_at	1448.99	P
200688_at	138.33	P
200689_x_at	7436.14	P
200690_at	284.58	P
200691_s_at	2233.33	P
200692_s_at	1335.69	P
200693_at	4332.85	P
200694_s_at	995.3	P
200695_at	1118.45	P
200696_s_at	447.59	P
200697_at	1284.26	P
200698_at	1248.69	P
200699_at	1249.41	P
200700_s_at	1848.4	P
200701_at	1224.59	P
200702_s_at	683.59	P
200703_at	3820.94	P
200704_at	2576	P
200705_s_at	4639.21	P
200706_s_at	2035.39	P
200707_at	1106.47	P
200708_at	2430.99	P
200709_at	2081.87	P
200710_at	1024.45	P
200711_s_at	968.76	P
200712_s_at	1211.5	P
200713_s_at	3373.62	P
200714_x_at	1132.01	P
200715_x_at	3604.25	P
200716_x_at	8625.49	P
200717_x_at	8917.19	P
200718_s_at	4233.43	P
200719_at	273.83	P
200720_s_at	1103.34	P
200721_s_at	638.39	P
200722_s_at	1435.29	P
200723_s_at	2376.56	P
200724_at	36.81	A
200725_x_at	6917	P
200726_at	3080.6	P
200727_s_at	1068.98	P
200728_at	2605.13	P
200729_s_at	1668.11	P
200730_s_at	992.5	P
200731_s_at	800.71	P
200732_s_at	917.58	P
200733_s_at	734.39	P
200734_s_at	1421.37	P
200735_x_at	6845.69	P
200736_s_at	2455.03	P
200737_at	1538.02	P
200738_s_at	4900.56	P
200739_s_at	869.23	P
200740_s_at	2786.39	P
200741_s_at	6962.94	P
200742_s_at	362.53	P
200743_s_at	805.15	P
200744_s_at	2106.32	P
200745_s_at	2793.48	P
200746_s_at	2244.61	P
200747_s_at	415.64	P
200748_s_at	5235.69	P
200749_at	1614.19	P
200750_s_at	4769.92	P
200751_s_at	3149.54	P
200752_s_at	254.81	P
200753_x_at	2123.64	P
200754_x_at	4904.64	P
200755_s_at	2033.28	P
200756_x_at	1482.27	P
200757_s_at	1319.24	P
200758_s_at	1030.87	P
200759_x_at	1041.87	P
200760_s_at	1208.5	P
200761_s_at	1200.37	P
200762_at	1874.8	P
200763_s_at	8095.42	P
200764_s_at	1115.23	P
200765_x_at	2224.72	P
200766_at	177.23	P
200767_s_at	439.26	P
200768_s_at	1862.06	P
200769_s_at	630.65	P
200770_s_at	720.84	P
200771_at	1250.34	P
200772_x_at	6192.57	P
200773_x_at	5131.15	P
200774_at	3343.21	P
200775_s_at	4996.46	P
200776_s_at	2105.86	P
200777_s_at	2730.68	P
200778_s_at	2389.38	P
200779_at	2190.32	P
200780_x_at	8341.71	P
200781_s_at	10519.14	P
200782_at	2377.41	P
200783_s_at	1236.76	P
200784_s_at	172.32	P
200785_s_at	140.15	P
200786_at	3003.28	P
200787_s_at	1712.13	P
200788_s_at	2418.97	P
200789_at	442.94	P
200790_at	2828.54	P
200791_s_at	1390.94	P
200792_at	4107.3	P
200793_s_at	628.68	P
200794_x_at	2273.74	P
200795_at	14.58	P
200796_s_at	450.76	P
200797_s_at	2052.74	P
200798_x_at	1247.2	P
200799_at	2410.32	P
200800_s_at	1460.26	P
200801_x_at	11274.81	P
200802_at	1340.35	P
200803_s_at	3116.29	P
