ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
1255_g_at,GUCA1A,2978.0,0
1431_at,CYP2E1,1571.0,0
1494_f_at,CYP2A6,1548.0,0
177_at,PLD1,5337.0,1
200074_s_at,RPL14,9045.0,1
200075_s_at,GUK1,2987.0,1
200078_s_at,ATP6V0B,533.0,1
200086_s_at,COX4I1,1327.0,1
200096_s_at,ATP6V0E1,8992.0,1
200627_at,PTGES3,10728.0,1
200642_at,SOD1,6647.0,1
200643_at,HDLBP,3069.0,1
200648_s_at,GLUL,2752.0,1
200650_s_at,LDHA,3939.0,1
200657_at,SLC25A5,292.0,1
200661_at,CTSA,5476.0,1
200681_at,GLO1,2739.0,1
200697_at,HK1,3098.0,1
200708_at,GOT2,2806.0,1
200710_at,ACADVL,37.0,1
200736_s_at,GPX1,2876.0,1
200737_at,PGK1,5230.0,1
200738_s_at,PGK1,5230.0,1
200742_s_at,TPP1,1200.0,1
200743_s_at,TPP1,1200.0,1
200748_s_at,FTH1,2495.0,1
200762_at,DPYSL2,1808.0,1
200768_s_at,MAT2A,4144.0,1
200769_s_at,MAT2A,4144.0,1
200789_at,ECH1,1891.0,1
200790_at,ODC1,4953.0,1
200793_s_at,ACO2,50.0,1
200813_s_at,PAFAH1B1,5048.0,1
200815_s_at,PAFAH1B1,5048.0,1
200816_s_at,PAFAH1B1,5048.0,1
200818_at,ATP5O,539.0,1
200822_x_at,TPI1,7167.0,1
200831_s_at,SCD,6319.0,1
200832_s_at,SCD,6319.0,1
200844_s_at,PRDX6,9588.0,1
200845_s_at,PRDX6,9588.0,1
200848_at,AHCYL1,10768.0,1
200849_s_at,AHCYL1,10768.0,1
200850_s_at,AHCYL1,10768.0,1
200862_at,DHCR24,1718.0,1
200866_s_at,PSAP,5660.0,1
200871_s_at,PSAP,5660.0,1
200883_at,UQCRC2,7385.0,1
200884_at,CKB,1152.0,1
200886_s_at,PGAM1,5223.0,1
200898_s_at,MGEA5,10724.0,1
200899_s_at,MGEA5,10724.0,1
200903_s_at,AHCY,191.0,1
200924_s_at,SLC3A2,6520.0,1
200925_at,COX6A1,1337.0,1
200946_x_at,GLUD1,2746.0,1
200947_s_at,GLUD1,2746.0,1
200954_at,ATP6V0C,527.0,0
200966_x_at,ALDOA,226.0,1
200975_at,PPT1,5538.0,1
200978_at,MDH1,4190.0,1
200979_at,PDHA1,5160.0,1
200980_s_at,PDHA1,5160.0,1
201006_at,PRDX2,7001.0,0
201007_at,HADHB,3032.0,1
201013_s_at,PAICS,10606.0,1
201014_s_at,PAICS,10606.0,1
201030_x_at,LDHB,3945.0,1
201035_s_at,HADH,3033.0,1
201036_s_at,HADH,3033.0,1
201037_at,PFKP,5214.0,1
201050_at,PLD3,23646.0,1
201066_at,CYC1,1537.0,1
201080_at,PIP4K2B,8396.0,1
201081_s_at,PIP4K2B,8396.0,1
201089_at,ATP6V1B2,526.0,1
201093_x_at,SDHA,6389.0,1
201102_s_at,PFKL,5211.0,1
201106_at,GPX4,2879.0,1
201118_at,PGD,5226.0,1
201119_s_at,COX8A,1351.0,1
201127_s_at,ACLY,47.0,1
201128_s_at,ACLY,47.0,1
201134_x_at,COX7C,1350.0,1
201135_at,ECHS1,1892.0,1
201171_at,ATP6V0E1,8992.0,1
201172_x_at,ATP6V0E1,8992.0,1
201193_at,IDH1,3417.0,1
201195_s_at,SLC7A5,8140.0,1
201196_s_at,AMD1,262.0,1
201197_at,AMD1,262.0,1
201226_at,NDUFB8,4714.0,1
201227_s_at,NDUFB8,4714.0,1
201231_s_at,ENO1,2023.0,1
201239_s_at,SPCS2,9789.0,1
201240_s_at,SPCS2,9789.0,1
201242_s_at,ATP1B1,481.0,1
201243_s_at,ATP1B1,481.0,1
201249_at,SLC2A1,6513.0,0
201250_s_at,SLC2A1,6513.0,1
201251_at,PKM,5315.0,1
201253_s_at,CDIPT,10423.0,1
201256_at,COX7A2L,9167.0,1
201266_at,TXNRD1,7296.0,1
201272_at,AKR1B1,231.0,1
201275_at,FDPS,2224.0,1
201282_at,OGDH,4967.0,1
201290_at,SEC11A,23478.0,1
201304_at,NDUFA5,4698.0,1
201313_at,ENO2,2026.0,1
201322_at,ATP5B,506.0,1
201339_s_at,SCP2,6342.0,1
201347_x_at,GRHPR,9380.0,1
201348_at,GPX3,2878.0,1
201397_at,PHGDH,26227.0,1
201403_s_at,MGST3,4259.0,1
201413_at,HSD17B4,3295.0,1
201415_at,GSS,2937.0,1
201425_at,ALDH2,217.0,1
201430_s_at,DPYSL3,1809.0,0
201431_s_at,DPYSL3,1809.0,0
201432_at,CAT,847.0,1
201433_s_at,PTDSS1,9791.0,1
201441_at,COX6B1,1340.0,1
201463_s_at,TALDO1,6888.0,1
201467_s_at,NQO1,1728.0,1
201468_s_at,NQO1,1728.0,1
201476_s_at,RRM1,6240.0,1
201477_s_at,RRM1,6240.0,1
201481_s_at,PYGB,5834.0,1
201509_at,IDH3B,3420.0,1
201516_at,SRM,6723.0,1
