Reaction ID,Confidence Score
24_25DHVITD3tm,2
25HVITD3t,2
COAtl,2
EX_5adtststerone_e,0
EX_5adtststerones_e,0
EX_5htrp_e,0
EX_5mthf_e,0
24_25VITD3Hm,4
10FTHF7GLUtl,2
10FTHFtm,2
11DOCRTSLtr,1
13DAMPPOX,1
24_25DHVITD2t,2
24_25DHVITD2tm,2
24_25DHVITD3t,2
25VITD2Hm,4
2AMACHYD,4
2AMACSULT,2
2AMADPTm,4
2MCITt,2
2OXOADOXm,2
2OXOADPTm,4
34DHPHEt,4
34DHXMANDACOX,4
34HPLFM,2
3AIBtm,2
3HAO,4
3MOBt2im,4
3MOPt2im,4
3MOXTYROX,4
3SALAOX,2
42A12BOOX,4
4HBZCOAFm,2
4HBZFm,2
4HDEBRISOQUINEte,2
4HOXPACDOX_NADP,2
4MOPt2im,4
4MPTNLte,2
4PYRDX,2
5ADTSTSTERONEGLCtr,2
5ADTSTSTERONESULT,4
5ADTSTSTERONEte,1
5HOXINOXDA,4
5THFtl,2
5THFtm,2
7DHCHSTEROLtr,2
7DHFtm,2
A4GALTc,4
A4GALTg,4
AACTtm,1
ABO1g,4
ABO4g,4
ABO5g,4
ABO6g,4
ABO7g,4
ABO9g,4
ABTArm,4
ABTt,2
ABUTt2rL,4
ACACT10m,4
ACACT8p,4
ACACT9p,4
ACALDtr,1
ACALDtx,1
ACCOALm,2
ACCOAtr,0
ACETONEt2,4
ACGAGBSIDEtl,1
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,2
ACGALtlg,2
ACGAMK,4
ACGAMPM,4
ACGAMtly,2
ACGBGBSIDEtl,1
ACHtn,1
ACHVESSEC_1,4
ACN13ACNGALGBSIDEtg,1
ACNACNGAL14ACGLCGALGLUSIDEtg,2
ACNACNGALGBSIDEtg,1
ACNAMlt,4
ACNAMtn,1
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,2
ACNML,2
ACOAD10m,4
ACOAD8m,4
ACOAD9m,4
ACOAO7p,4
ACONTm,0
ACP1_FMN,2
ACS2,4
ACSRTNMT,4
ACt2r,4
ADEt,4
ADK3,4
ADK3m,4
ADKd,4
ADMDC,4
ADNt4,4
ADNtl,4
ADNtm,4
ADPRIBt,4
ADRNCOAtx,2
ADRNCRNt,4
ADSL2r,4
AG13T16g,4
AG13T18g,4
AG13T2g,4
AGMTm,4
AGTim,4
AIRCr,4
AKGMALtm,4
AKGt4_3,4
AKR1C41,4
AKR1D,4
ALAGLYexR,2
ALASERNaEx,4
ALASm,2
ALATHRNaEx,4
ALCD21_D,2
ALCD22_D,2
ALCD2y,0
ALDD20xm,1
ALDD2xm,0
ALDD2y,0
ALDSTRNte,2
ALDSTRNtm,2
ALOX15,4
ALR2,4
ALR3,4
AMACR2p,2
AMACRp,4
AMETr,1
AMETt2m,4
AMPDA,4
ANDRSTRNGLCte,2
ANDRSTRNGLCtr,1
ANDRSTRNtr,2
APOCFm,2
APOC_LYS_BTNP,2
APRTO2,1
ARAB_Lt,2
ARABR,4
ARACHDCOAtx,2
ARACHDt2,2
ARACHt,2
ARGDCm,4
ARGLYSex,4
ARGSS,4
ARGt4,2
ARTCOAL3_cho,0
R_group_phosphotase_2,0
R_group_phosphotase_3,0
ASCBOX_1,2
ASCBt,2
ASNCYSNaEx,4
ASNGLNNaEx,4
ASNNm,2
ASNS1,4
ASNt4,4
ASPGLUm,4
ASPNATm,4
ASPt6,4
ASPTAm,4
ATP1ter,2
BILGLCURte,2
BILIRED,0
EX_6htststerone_e,0
ATPasel_1,4
ATPtn,2
ATPtx,1
AVITE2t,2
B3GALT3g,4
B3GALT42g,4
B3GALTg,2
B3GNT11g,4
B3GNT310g,2
B3GNT315g,2
B3GNT31g,4
B3GNT34g,4
B3GNT37g,4
B3GNT39g,4
B3GNT51g,2
BAAT1x,4
BAAT3x,2
BACCL,4
BALAVECSEC_1,4
BDHm,4
BETALDHxm,2
BHBtm,4
BHMT,4
BILDGLCURt,4
BTNDm,4
BTNPL,4
BTNt2m,4
BTNt3i_1,4
BVITEt,2
C160CPT1,4
C160CPT2,4
C160CRNt,4
C161CPT1,4
C161CPT12,4
C161CPT2,4
C161CRN2t,4
C161CRNt,4
C180CPT1,4
C181CPT1,4
C181CRNt,4
C204CPT1,4
C204CPT2,4
