The GSE3397 mRNA expression profile dataset.;;;;;
ID;adj.P.Val;P.Value;logFC;Gene.symbol;Gene.title
239484_at;0,118;0,00000319;-2,48939761;TRPM7;transient receptor potential cation channel subfamily M member 7
1553432_s_at;0,518;0,00003788;2,84808575;LOC101060424///LOC653786///OTOA;otoancorin-like///otoancorin pseudogene///otoancorin
238446_at;0,789;0,00009208;1,95804266;NAIP;NLR family apoptosis inhibitory protein
221372_s_at;0,789;0,00010425;2,21173637;P2RX2;purinergic receptor P2X 2
1560372_at;0,789;0,000109;3,05349458;LOC101929713;uncharacterized LOC101929713
207852_at;0,866;0,00014582;1,9088676;CXCL5;C-X-C motif chemokine ligand 5
242622_x_at;0,866;0,00025445;2,12292463;PTEN;phosphatase and tensin homolog
232869_at;0,866;0,00033964;1,96663211;SRGAP3;SLIT-ROBO Rho GTPase activating protein 3
219895_at;0,866;0,00035056;2,81159846;TMEM255A;transmembrane protein 255A
210328_at;0,866;0,00045727;1,48441032;GNMT;glycine N-methyltransferase
219087_at;0,866;0,00055646;1,90084928;ASPN;asporin
235760_at;0,866;0,0005712;-2,06822095;NSD1;nuclear receptor binding SET domain protein 1
216898_s_at;0,866;0,00061429;-1,24309372;COL4A3;collagen type IV alpha 3 chain
1559500_at;0,866;0,00065585;2,93324852;VPS8;VPS8, CORVET complex subunit
1560359_at;0,866;0,00072759;-2,25721852;ITGA1;integrin subunit alpha 1
1561660_at;0,866;0,0007314;-1,59992149;SLC25A53;solute carrier family 25 member 53
1559571_a_at;0,866;0,00076304;1,91165047;ATP13A4;ATPase 13A4
230849_at;0,866;0,00077833;1,33547408;KCNA1;potassium voltage-gated channel subfamily A member 1
1552858_at;0,866;0,00092045;2,71998265;MAGEB6;MAGE family member B6
242078_at;0,866;0,00093329;1,82428167;AFF3;AF4/FMR2 family member 3
235736_at;0,866;0,00095976;0,97277895;SMKR1;small lysine rich protein 1
236803_at;0,866;0,0009816;-1,67118316;LOC101927060;uncharacterized LOC101927060
213277_at;0,866;0,00104993;1,75981028;ZFP36L1;ZFP36 ring finger protein like 1
214770_at;0,866;0,00105764;2,42394083;MSR1;macrophage scavenger receptor 1
239895_at;0,866;0,00106042;-2,7967043;AQR;aquarius intron-binding spliceosomal factor
217596_at;0,866;0,00107259;-1,51629552;UPF3A;UPF3 regulator of nonsense transcripts homolog A (yeast)
1555678_at;0,866;0,00108959;1,42566067;ST3GAL3;ST3 beta-galactoside alpha-2,3-sialyltransferase 3
239576_at;0,866;0,00112002;1,65725992;MTUS1;microtubule associated tumor suppressor 1
214341_at;0,866;0,00118015;-1,29997582;AP1G2;adaptor related protein complex 1 gamma 2 subunit
244461_at;0,866;0,00120298;-0,85591547;SPECC1;sperm antigen with calponin homology and coiled-coil domains 1
1568852_x_at;0,866;0,00121314;1,39032327;LINC01352;long intergenic non-protein coding RNA 1352
239192_at;0,866;0,00126737;1,48231268;PARD3B;par-3 family cell polarity regulator beta
213232_at;0,866;0,00131771;-1,52450911;FAM234B;family with sequence similarity 234 member B
1554509_a_at;0,866;0,00134958;-0,69487577;FAM188A;family with sequence similarity 188 member A
233576_at;0,866;0,00135218;2,27245144;HMGCLL1;3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1
1558428_at;0,866;0,00136629;2,57726811;ALS2CR11;amyotrophic lateral sclerosis 2 chromosome region candidate 11
221946_at;0,866;0,00139262;0,78809427;C9orf116;chromosome 9 open reading frame 116
236517_at;0,866;0,00141476;2,2193521;MEGF10;multiple EGF like domains 10
235920_at;0,866;0,00142158;-1,24910207;CLUHP3///ZNF720;clustered mitochondria homolog pseudogene 3///zinc finger protein 720
207244_x_at;0,866;0,00144241;2,19842773;CYP2A6;cytochrome P450 family 2 subfamily A member 6
1563654_at;0,866;0,00150603;-2,52813387;LOC619427;uncharacterized LOC619427
230375_at;0,866;0,00150645;2,1002746;PNISR;PNN interacting serine and arginine rich protein
243260_x_at;0,866;0,0015458;-1,84088812;XKR6;XK related 6
218410_s_at;0,866;0,00155276;-2,0621962;PGP;phosphoglycolate phosphatase
209335_at;0,866;0,001557;2,10461931;DCN;decorin
207316_at;0,866;0,0015722;1,81727359;HAS1;hyaluronan synthase 1
1566465_at;0,866;0,00157725;2,28388876;KCNK1;potassium two pore domain channel subfamily K member 1
211803_at;0,866;0,00164896;1,63809918;CDK2;cyclin dependent kinase 2
241436_at;0,866;0,00165001;2,31412577;SCNN1G;sodium channel epithelial 1 gamma subunit
241792_x_at;0,866;0,0016541;-1,0352613;LUC7L3;LUC7 like 3 pre-mRNA splicing factor
1560224_at;0,866;0,00168636;-0,70089784;AHCTF1P1///AHCTF1;AT-hook containing transcription factor 1 pseudogene 1///AT-hook containing transcription factor 1
1559617_at;0,866;0,00170938;1,84817482;LOC101927206;uncharacterized LOC101927206
210557_x_at;0,866;0,00171621;1,50398206;CSF1;colony stimulating factor 1
210475_at;0,866;0,00174802;1,24814049;POU3F1;POU class 3 homeobox 1
240275_at;0,866;0,00181006;1,81540337;ARMC3;armadillo repeat containing 3
1570224_at;0,866;0,00188135;2,12630847;LINC01449;long intergenic non-protein coding RNA 1449
39313_at;0,866;0,00190332;-0,71898097;WNK1;WNK lysine deficient protein kinase 1
1553689_s_at;0,866;0,00193741;-0,73229599;METTL6;methyltransferase like 6
223729_at;0,866;0,001981;0,8666807;CECR2;CECR2, histone acetyl-lysine reader
207964_x_at;0,866;0,00199119;-0,57508786;IFNA4;interferon alpha 4
238929_at;0,866;0,00200915;-0,93922969;SRSF8;serine and arginine rich splicing factor 8
204794_at;0,866;0,00206805;-1,95161165;DUSP2;dual specificity phosphatase 2
239365_at;0,866;0,00208264;1,11116348;SCIN;scinderin
214669_x_at;0,866;0,00208488;0,984807;IGKC;immunoglobulin kappa constant
203400_s_at;0,866;0,00211149;2,09933596;TF;transferrin
208383_s_at;0,866;0,00215096;-1,63673169;PCK1;phosphoenolpyruvate carboxykinase 1
228951_at;0,866;0,00217695;0,60909341;SLC38A7;solute carrier family 38 member 7
